#ID	Whisson2007
PHYGONAP_000466-T1	neither
PHYGONAP_000467-T1	neither
PHYGONAP_000468-T1	neither
PHYGONAP_000469-T1	neither
PHYGONAP_000470-T1	neither
PHYGONAP_000471-T1	neither
PHYGONAP_000472-T1	neither
PHYGONAP_000473-T1	neither
PHYGONAP_000474-T1	neither
PHYGONAP_000475-T1	neither
PHYGONAP_000476-T1	neither
PHYGONAP_000477-T1	neither
PHYGONAP_000478-T1	neither
PHYGONAP_000479-T1	neither
PHYGONAP_000480-T1	neither
PHYGONAP_000481-T1	neither
PHYGONAP_000482-T1	neither
PHYGONAP_000483-T1	neither
PHYGONAP_000484-T1	neither
PHYGONAP_000485-T1	neither
PHYGONAP_000486-T1	neither
PHYGONAP_000487-T1	neither
PHYGONAP_000488-T1	neither
PHYGONAP_000489-T1	neither
PHYGONAP_000490-T1	neither
PHYGONAP_000491-T1	neither
PHYGONAP_000492-T1	neither
PHYGONAP_000493-T1	neither
PHYGONAP_000494-T1	neither
PHYGONAP_000495-T1	neither
PHYGONAP_000496-T1	neither
PHYGONAP_000497-T1	neither
PHYGONAP_000498-T1	neither
PHYGONAP_000499-T1	neither
PHYGONAP_000500-T1	neither
PHYGONAP_000501-T1	neither
PHYGONAP_000502-T1	neither
PHYGONAP_000503-T1	neither
PHYGONAP_000504-T1	neither
PHYGONAP_000505-T1	neither
PHYGONAP_000506-T1	neither
PHYGONAP_000507-T1	neither
PHYGONAP_000508-T1	neither
PHYGONAP_000509-T1	neither
PHYGONAP_000510-T1	neither
PHYGONAP_000511-T1	neither
PHYGONAP_000512-T1	neither
PHYGONAP_000513-T1	neither
PHYGONAP_000514-T1	neither
PHYGONAP_000515-T1	neither
PHYGONAP_000516-T1	neither
PHYGONAP_000517-T1	neither
PHYGONAP_000518-T1	neither
PHYGONAP_000519-T1	neither
PHYGONAP_000520-T1	neither
PHYGONAP_000521-T1	neither
PHYGONAP_000522-T1	neither
PHYGONAP_000523-T1	neither
PHYGONAP_000524-T1	neither
PHYGONAP_000525-T1	neither
PHYGONAP_000526-T1	neither
PHYGONAP_000527-T1	neither
PHYGONAP_000528-T1	neither
PHYGONAP_000529-T1	neither
PHYGONAP_000530-T1	neither
PHYGONAP_000531-T1	neither
PHYGONAP_000532-T1	neither
PHYGONAP_000533-T1	neither
PHYGONAP_000534-T1	neither
PHYGONAP_000535-T1	neither
PHYGONAP_000536-T1	neither
PHYGONAP_000537-T1	neither
PHYGONAP_000538-T1	neither
PHYGONAP_000539-T1	neither
PHYGONAP_000540-T1	neither
PHYGONAP_000541-T1	neither
PHYGONAP_000542-T1	neither
PHYGONAP_000543-T1	neither
PHYGONAP_000544-T1	neither
PHYGONAP_000545-T1	neither
PHYGONAP_000546-T1	neither
PHYGONAP_000547-T1	neither
PHYGONAP_000548-T1	neither
PHYGONAP_000549-T1	neither
PHYGONAP_000550-T1	neither
PHYGONAP_000551-T1	neither
PHYGONAP_000552-T1	neither
PHYGONAP_000553-T1	neither
PHYGONAP_000554-T1	neither
PHYGONAP_000555-T1	neither
PHYGONAP_000556-T1	neither
PHYGONAP_000557-T1	neither
PHYGONAP_000558-T1	neither
PHYGONAP_000559-T1	neither
PHYGONAP_000560-T1	neither
PHYGONAP_000561-T1	neither
PHYGONAP_000562-T1	neither
PHYGONAP_000563-T1	neither
PHYGONAP_000564-T1	neither
PHYGONAP_000565-T1	neither
PHYGONAP_000566-T1	neither
PHYGONAP_000567-T1	neither
PHYGONAP_000568-T1	neither
PHYGONAP_000569-T1	neither
PHYGONAP_000570-T1	neither
PHYGONAP_000571-T1	neither
