#ID	Bhattacharjee2006
PHYSUEDO_000460-T1	N
PHYSUEDO_000461-T1	N
PHYSUEDO_000462-T1	N
PHYSUEDO_000463-T1	N
PHYSUEDO_000464-T1	N
PHYSUEDO_000465-T1	N
PHYSUEDO_000466-T1	N
PHYSUEDO_000467-T1	N
PHYSUEDO_000468-T1	N
PHYSUEDO_000469-T1	N
PHYSUEDO_000470-T1	N
PHYSUEDO_000471-T1	N
PHYSUEDO_000472-T1	N
PHYSUEDO_000473-T1	N
PHYSUEDO_000474-T1	N
PHYSUEDO_000475-T1	N
PHYSUEDO_000476-T1	N
PHYSUEDO_000477-T1	N
PHYSUEDO_000478-T1	N
PHYSUEDO_000479-T1	N
PHYSUEDO_000480-T1	N
PHYSUEDO_000481-T1	N
PHYSUEDO_000482-T1	N
PHYSUEDO_000483-T1	N
PHYSUEDO_000484-T1	N
PHYSUEDO_000485-T1	N
PHYSUEDO_000486-T1	N
PHYSUEDO_000487-T1	N
PHYSUEDO_000488-T1	N
PHYSUEDO_000489-T1	N
PHYSUEDO_000490-T1	N
PHYSUEDO_000491-T1	N
PHYSUEDO_000492-T1	N
PHYSUEDO_000493-T1	N
PHYSUEDO_000494-T1	Y
PHYSUEDO_000495-T1	N
PHYSUEDO_000496-T1	N
PHYSUEDO_000497-T1	N
PHYSUEDO_000498-T1	N
PHYSUEDO_000499-T1	N
PHYSUEDO_000500-T1	N
PHYSUEDO_000501-T1	N
PHYSUEDO_000502-T1	N
PHYSUEDO_000503-T1	N
PHYSUEDO_000504-T1	N
PHYSUEDO_000505-T1	N
PHYSUEDO_000506-T1	N
PHYSUEDO_000507-T1	N
PHYSUEDO_000508-T1	N
PHYSUEDO_000509-T1	N
PHYSUEDO_000510-T1	N
PHYSUEDO_000511-T1	N
PHYSUEDO_000512-T1	N
PHYSUEDO_000513-T1	N
PHYSUEDO_000514-T1	N
PHYSUEDO_000515-T1	N
PHYSUEDO_000516-T1	N
PHYSUEDO_000517-T1	N
PHYSUEDO_000518-T1	N
PHYSUEDO_000519-T1	N
PHYSUEDO_000520-T1	N
PHYSUEDO_000521-T1	N
PHYSUEDO_000522-T1	N
PHYSUEDO_000523-T1	N
PHYSUEDO_000524-T1	N
PHYSUEDO_000525-T1	N
PHYSUEDO_000526-T1	N
PHYSUEDO_000527-T1	N
PHYSUEDO_000528-T1	N
PHYSUEDO_000529-T1	N
PHYSUEDO_000530-T1	N
PHYSUEDO_000531-T1	N
PHYSUEDO_000532-T1	N
PHYSUEDO_000533-T1	N
PHYSUEDO_000534-T1	N
PHYSUEDO_000535-T1	N
PHYSUEDO_000536-T1	N
PHYSUEDO_000537-T1	N
PHYSUEDO_000538-T1	N
PHYSUEDO_000539-T1	N
PHYSUEDO_000540-T1	N
PHYSUEDO_000541-T1	N
PHYSUEDO_000542-T1	N
PHYSUEDO_000543-T1	N
PHYSUEDO_000544-T1	N
PHYSUEDO_000545-T1	N
PHYSUEDO_000546-T1	N
PHYSUEDO_000547-T1	N
PHYSUEDO_000548-T1	N
PHYSUEDO_000549-T1	N
PHYSUEDO_000550-T1	N
PHYSUEDO_000551-T1	N
PHYSUEDO_000552-T1	N
PHYSUEDO_000553-T1	N
PHYSUEDO_000554-T1	N
PHYSUEDO_000555-T1	N
PHYSUEDO_000556-T1	N
PHYSUEDO_000557-T1	N
PHYSUEDO_000558-T1	N
PHYSUEDO_000559-T1	N
PHYSUEDO_000560-T1	N
PHYSUEDO_000561-T1	N
PHYSUEDO_000562-T1	N
PHYSUEDO_000563-T1	N
PHYSUEDO_000564-T1	N
PHYSUEDO_000565-T1	N
PHYSUEDO_000566-T1	N
PHYSUEDO_000567-T1	N
PHYSUEDO_000568-T1	N
PHYSUEDO_000569-T1	N
PHYSUEDO_000570-T1	N
PHYSUEDO_000571-T1	N
PHYSUEDO_000572-T1	N
PHYSUEDO_000573-T1	N
PHYSUEDO_000574-T1	N
PHYSUEDO_000575-T1	N
PHYSUEDO_000576-T1	N
PHYSUEDO_000577-T1	N
PHYSUEDO_000578-T1	N
PHYSUEDO_000579-T1	N
PHYSUEDO_000580-T1	N
PHYSUEDO_000581-T1	N
PHYSUEDO_000582-T1	N
PHYSUEDO_000583-T1	N
PHYSUEDO_000584-T1	N
PHYSUEDO_000585-T1	N
PHYSUEDO_000586-T1	N
PHYSUEDO_000587-T1	N
PHYSUEDO_000588-T1	N
PHYSUEDO_000589-T1	N
PHYSUEDO_000590-T1	N
PHYSUEDO_000591-T1	N
PHYSUEDO_000592-T1	N
PHYSUEDO_000593-T1	N
PHYSUEDO_000594-T1	N
PHYSUEDO_000595-T1	N
PHYSUEDO_000596-T1	N
PHYSUEDO_000597-T1	N
PHYSUEDO_000598-T1	N
PHYSUEDO_000599-T1	N
PHYSUEDO_000600-T1	N
PHYSUEDO_000601-T1	N
PHYSUEDO_000602-T1	N
PHYSUEDO_000603-T1	N
PHYSUEDO_000604-T1	N
PHYSUEDO_000605-T1	N
PHYSUEDO_000606-T1	N
PHYSUEDO_000607-T1	N
PHYSUEDO_000608-T1	N
